State,Date,Plastic,,,
WA,2015,3.33E-05,,,
WA,2015,7.94E-06,,,
VA,2015,0.000236679,,,
CA,2015,2.93E-06,,,
CA,2015,3.86E-05,,,
WA,2015,0.000166667,,,
CA,2015,0,,,
WA,2015,9.80E-06,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,1.19E-05,,,
CA,2015,0,,,
WA,2015,8.42E-06,,,
WA,2015,1.59E-05,,,
CA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
VA,2015,6.54E-06,,,
WA,2015,7.02E-06,,,
CA,2015,9.66E-06,,,
WA,2015,0,,,
OR,2015,4.76E-06,,,
VA,2015,1.39E-05,,,
OR,2015,0,,,
WA,2015,0.000242424,,,
VA,2015,1.17E-05,,,
WA,2015,6.94E-06,,,
AK,2015,0,,,
OR,2015,0,,,
WA,2015,5.95E-06,,,
CA,2015,0,,,
HI,2015,0.019357143,,,
OR,2015,0,,,
OR,2015,9.52E-07,,,
OR,2015,0,,,
WA,2015,3.17E-05,,,
WA,2015,0,,,
VA,2015,3.22E-05,,,
WA,2015,9.38E-06,,,
WA,2015,0,,,
WA,2015,3.17E-05,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
OR,2015,1.02E-05,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2015,8.06E-06,,,
CA,2015,0,,,
VA,2015,1.04E-05,,,
WA,2015,3.03E-05,,,
WA,2015,1.33E-05,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,1.54E-05,,,
OR,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
VA,2015,1.69E-05,,,
OR,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
WA,2015,3.25E-06,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
HI,2015,9.69E-07,,,
WA,2015,9.52E-06,,,
VA,2015,4.48E-05,,,
WA,2015,4.29E-05,,,
WA,2015,6.67E-06,,,
CA,2015,4.90E-06,,,
CA,2015,0,,,
CA,2015,6.44E-06,,,
WA,2015,0,,,
OR,2015,4.17E-06,,,
WA,2015,3.57E-05,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
CA,2015,0,,,
WA,2015,9.52E-06,,,
OR,2015,0,,,
WA,2015,9.26E-06,,,
OR,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,0,,,
CA,2015,1.28E-06,,,
CA,2015,1.93E-05,,,
VA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
CA,2015,0,,,
VA,2015,3.93E-06,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
VA,2015,7.79E-06,,,
AK,2015,1.52E-05,,,
HI,2015,0.000735384,,,
HI,2015,0.05,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,5.85E-06,,,
WA,2015,0.000119048,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,1.29E-06,,,
OR,2015,0,,,
VA,2015,9.15E-05,,,
WA,2015,0,,,
WA,2015,7.41E-06,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,0.000125,,,
MS,2015,0,,,
MS,2015,1.04E-05,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,6.73E-06,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
WA,2015,0.000178571,,,
WA,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
LA,2015,8.89E-06,,,
MS,2015,0,,,
MS,2015,4.21E-05,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,3.90E-05,,,
OR,2015,0,,,
WA,2015,1.43E-05,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
VA,2015,5.66E-06,,,
CA,2015,3.57E-06,,,
VA,2015,2.29E-05,,,
WA,2015,7.58E-06,,,
CA,2015,0,,,
VA,2015,8.08E-05,,,
WA,2015,0,,,
WA,2015,1.08E-05,,,
OR,2015,0,,,
OR,2015,0,,,
CA,2015,3.07E-06,,,
WA,2015,0,,,
WA,2015,1.94E-05,,,
OR,2015,0,,,
WA,2015,0,,,
HI,2015,0.031028571,,,
CA,2015,0,,,
VA,2015,7.70E-05,,,
OR,2015,0,,,
WA,2015,2.42E-06,,,
OR,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,6.06E-06,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,3.70E-06,,,
WA,2015,0,,,
LA,2015,1.29E-05,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,0,,,
MS,2015,2.16E-05,,,
MS,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,6.15E-05,,,
VA,2015,2.54E-05,,,
OR,2015,0,,,
WA,2015,0,,,
VA,2015,1.42E-05,,,
OR,2015,0,,,
CA,2015,0,,,
VA,2015,8.05E-06,,,
AK,2015,0,,,
WA,2015,9.22E-07,,,
WA,2015,1.75E-06,,,
OR,2015,0,,,
WA,2015,1.59E-05,,,
AK,2015,0,,,
WA,2015,8.26E-06,,,
CA,2015,5.44E-06,,,
AK,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,8.08E-06,,,
OR,2015,0,,,
VA,2015,2.97E-05,,,
CA,2015,0,,,
OR,2015,0,,,
WA,2015,3.03E-05,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,3.45E-06,,,
WA,2015,1.61E-05,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,0,,,
MS,2015,5.71E-05,,,
MS,2015,0,,,
HI,2015,2.42E-05,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,9.38E-06,,,
WA,2015,5.56E-06,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,1.54E-05,,,
VA,2015,1.71E-05,,,
OR,2015,0,,,
VA,2015,0,,,
HI,2015,1.16E-05,,,
CA,2015,0,,,
WA,2015,0,,,
OR,2015,8.51E-06,,,
CA,2015,0,,,
OR,2015,1.61E-06,,,
CA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
AK,2015,0,,,
CA,2015,0,,,
WA,2015,3.70E-05,,,
WA,2015,3.23E-05,,,
CA,2015,0,,,
VA,2015,4.81E-05,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
CA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,9.60E-06,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,2.98E-05,,,
MS,2015,1.16E-05,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,1.92E-05,,,
WA,2015,0,,,
AL,2015,3.04E-05,,,
AL,2015,2.34E-05,,,
AL,2015,0,,,
MS,2015,0,,,
MS,2015,1.47E-05,,,
WA,2015,3.23E-06,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,3.90E-05,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
CA,2015,0,,,
VA,2015,4.11E-05,,,
OR,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
WA,2015,8.57E-06,,,
WA,2015,0,,,
WA,2015,2.08E-06,,,
CA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
CA,2015,1.01E-06,,,
AK,2015,2.69E-05,,,
VA,2015,8.49E-05,,,
WA,2015,9.20E-06,,,
OR,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,0,,,
CA,2015,7.58E-05,,,
MS,2015,0,,,
MS,2015,6.17E-05,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
WA,2015,5.46E-06,,,
MS,2015,3.53E-05,,,
MS,2015,1.68E-05,,,
MS,2015,1.95E-05,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,2.33E-05,,,
WA,2015,0,,,
CA,2015,1.21E-05,,,
AL,2015,3.73E-05,,,
AL,2015,1.50E-05,,,
AL,2015,7.18E-06,,,
WA,2015,4.21E-06,,,
WA,2015,2.08E-05,,,
WA,2015,0.0001125,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,8.33E-05,,,
WA,2015,0,,,
VA,2015,9.09E-06,,,
WA,2015,2.26E-05,,,
VA,2015,6.24E-05,,,
VA,2015,1.76E-05,,,
WA,2015,1.79E-05,,,
WA,2015,3.97E-06,,,
OR,2015,8.75E-06,,,
WA,2015,1.30E-05,,,
WA,2015,0,,,
AK,2015,1.66E-06,,,
AK,2015,0,,,
AK,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,0,,,
VA,2015,7.00E-05,,,
MS,2015,3.70E-05,,,
MS,2015,0,,,
MS,2015,8.11E-05,,,
MS,2015,0,,,
MS,2015,2.02E-05,,,
MS,2015,0,,,
CA,2015,1.15E-05,,,
AK,2015,0,,,
AL,2015,0.000299145,,,
AL,2015,8.55E-05,,,
AL,2015,4.81E-05,,,
CA,2015,0,,,
CA,2015,2.76E-05,,,
OR,2015,0,,,
MS,2015,2.02E-05,,,
MS,2015,0,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,1.70E-05,,,
LA,2015,1.04E-05,,,
HI,2015,1.40E-06,,,
WA,2015,1.43E-05,,,
WA,2015,0,,,
WA,2015,3.91E-06,,,
WA,2015,6.70E-05,,,
WA,2015,3.75E-05,,,
WA,2015,1.43E-05,,,
CA,2015,0,,,
VA,2015,4.50E-05,,,
CA,2015,2.89E-07,,,
WA,2015,4.55E-05,,,
VA,2015,4.27E-05,,,
VA,2015,2.12E-05,,,
OR,2015,0,,,
AL,2015,1.73E-05,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,1.59E-05,,,
WA,2015,0.000181818,,,
WA,2015,0,,,
AL,2015,1.30E-05,,,
AL,2015,2.03E-05,,,
FL,2015,3.57E-05,,,
FL,2015,0,,,
FL,2015,0,,,
CA,2015,0,,,
AK,2015,0,,,
VA,2015,0.000165612,,,
OR,2015,0,,,
AK,2015,2.51E-05,,,
AK,2015,4.51E-06,,,
HI,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,5.10E-05,,,
CA,2015,7.06E-05,,,
CA,2015,0,,,
CA,2015,3.03E-05,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,4.17E-06,,,
WA,2015,1.94E-05,,,
WA,2015,8.93E-06,,,
CA,2015,0,,,
CA,2015,0,,,
VA,2015,0.000294306,,,
VA,2015,6.22E-05,,,
VA,2015,4.39E-05,,,
WA,2015,0,,,
WA,2015,1.90E-05,,,
WA,2015,0.00010119,,,
OR,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
CA,2015,2.01E-05,,,
CA,2015,2.01E-05,,,
WA,2015,0,,,
WA,2015,0.000196429,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,1.80E-05,,,
MS,2015,8.98E-06,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
FL,2015,0,,,
FL,2015,3.63E-05,,,
FL,2015,2.22E-05,,,
AL,2015,0,,,
AL,2015,2.47E-05,,,
AL,2015,1.08E-05,,,
OR,2015,0,,,
AK,2015,3.13E-05,,,
CA,2015,0.000181818,,,
VA,2015,5.27E-05,,,
WA,2015,0,,,
CA,2015,0,,,
HI,2015,6.78E-05,,,
WA,2015,2.86E-06,,,
WA,2015,4.07E-06,,,
WA,2015,0,,,
CA,2015,6.73E-06,,,
CA,2015,0,,,
WA,2015,1.38E-05,,,
WA,2015,8.06E-06,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,9.09E-06,,,
OR,2015,0,,,
OR,2015,1.95E-06,,,
VA,2015,4.27E-05,,,
WA,2015,6.94E-06,,,
WA,2015,0.000102564,,,
VA,2015,6.68E-05,,,
VA,2015,5.73E-06,,,
TX,2015,0.000131857,,,
TX,2015,0.000408106,,,
TX,2015,0.000304519,,,
TX,2015,0.00015306,,,
TX,2015,5.07E-05,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0.000129032,,,
TX,2015,0,,,
TX,2015,7.42E-05,,,
AL,2015,0,,,
OR,2015,0,,,
WA,2015,3.17E-05,,,
AK,2015,0,,,
AK,2015,0,,,
AK,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0.000138889,,,
FL,2015,5.26E-05,,,
FL,2015,0,,,
FL,2015,0,,,
CA,2015,0,,,
CA,2015,5.10E-05,,,
AL,2015,0,,,
AL,2015,7.87E-06,,,
AK,2015,6.16E-05,,,
OR,2015,3.56E-06,,,
CA,2015,6.45E-06,,,
VA,2015,2.20E-05,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,5.28E-05,,,
WA,2015,1.59E-06,,,
WA,2015,0,,,
OR,2015,2.22E-06,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,9.09E-06,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,9.52E-05,,,
WA,2015,1.07E-05,,,
VA,2015,0,,,
VA,2015,3.12E-05,,,
TX,2015,0.000145416,,,
TX,2015,0.000133547,,,
TX,2015,0.000205228,,,
TX,2015,1.89E-05,,,
LA,2015,1.82E-05,,,
LA,2015,0,,,
LA,2015,0,,,
VA,2015,5.29E-06,,,
TX,2015,0,,,
TX,2015,0.000131666,,,
TX,2015,5.10E-05,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
OR,2015,3.57E-05,,,
MS,2015,0,,,
MS,2015,3.97E-06,,,
MS,2015,4.39E-06,,,
MS,2015,3.97E-06,,,
MS,2015,0,,,
MS,2015,0,,,
WA,2015,0.001861111,,,
CA,2015,0.000175084,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
WA,2015,5.63E-05,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,7.94E-05,,,
VA,2015,4.29E-05,,,
CA,2015,1.83E-06,,,
WA,2015,9.85E-06,,,
CA,2015,0,,,
CA,2015,1.97E-05,,,
WA,2015,6.84E-06,,,
OR,2015,0.0001,,,
WA,2015,0,,,
OR,2015,5.26E-06,,,
WA,2015,0,,,
WA,2016,3.16E-05,,,
WA,2016,0,,,
CA,2016,8.12E-05,,,
VA,2016,1.85E-05,,,
VA,2016,0,,,
TX,2016,1.61E-05,,,
TX,2016,0.000140528,,,
TX,2016,5.41E-05,,,
VA,2016,1.49E-05,,,
TX,2016,0,,,
TX,2016,7.99E-05,,,
TX,2016,9.22E-05,,,
TX,2016,0.000109789,,,
FL,2016,0,,,
FL,2016,0,,,
FL,2016,0,,,
AL,2016,8.01E-06,,,
AL,2016,2.35E-05,,,
AL,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
LA,2016,0,,,
LA,2016,0,,,
LA,2016,0,,,
MS,2016,1.15E-05,,,
MS,2016,1.23E-05,,,
MS,2016,1.38E-05,,,
WA,2016,5.36E-05,,,
OR,2016,5.27E-06,,,
WA,2016,1.56E-05,,,
WA,2016,9.72E-05,,,
WA,2016,0,,,
OR,2016,0.000236842,,,
VA,2016,1.78E-05,,,
WA,2016,0,,,
AK,2016,0,,,
CA,2016,0.0001,,,
CA,2016,0,,,
CA,2016,1.68E-05,,,
WA,2016,0,,,
WA,2016,0.000307692,,,
OR,2016,0,,,
CA,2016,6.13E-06,,,
WA,2016,4.76E-05,,,
WA,2016,1.40E-05,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
AK,2016,3.91E-05,,,
CA,2016,7.51E-06,,,
WA,2016,6.45E-06,,,
WA,2016,0,,,
OR,2016,0,,,
WA,2016,0,,,
TX,2016,5.99E-05,,,
TX,2016,0.0002145,,,
TX,2016,8.98E-05,,,
WA,2016,9.69E-05,,,
VA,2016,8.19E-05,,,
TX,2016,4.44E-05,,,
TX,2016,6.00E-05,,,
VA,2016,0,,,
TX,2016,0,,,
VA,2016,0,,,
OR,2016,0,,,
AL,2016,0,,,
AL,2016,0,,,
AL,2016,8.21E-06,,,
OR,2016,0,,,
WA,2016,9.90E-05,,,
FL,2016,4.44E-05,,,
FL,2016,0,,,
FL,2016,0,,,
OR,2016,2.00E-05,,,
WA,2016,2.75E-05,,,
WA,2016,8.00E-06,,,
TX,2016,0,,,
AK,2016,0,,,
CA,2016,0,,,
WA,2016,1.63E-05,,,
WA,2016,3.48E-06,,,
OR,2016,0,,,
VA,2016,4.46E-05,,,
CA,2016,6.90E-05,,,
WA,2016,0,,,
CA,2016,0,,,
CA,2016,4.34E-06,,,
CA,2016,0,,,
CA,2016,0,,,
CA,2016,0,,,
WA,2016,0,,,
CA,2016,3.95E-05,,,
OR,2016,0.000891892,,,
WA,2016,0,,,
WA,2016,0,,,
WA,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
OR,2016,0,,,
WA,2016,2.98E-06,,,
WA,2016,0.000142857,,,
WA,2016,0,,,
WA,2016,1.11E-05,,,
TX,2016,0.000178508,,,
TX,2016,0.000175594,,,
TX,2016,0.000104913,,,
TX,2016,0.000174216,,,
TX,2016,0.000105448,,,
TX,2016,5.55E-05,,,
VA,2016,0,,,
TX,2016,9.15E-06,,,
WA,2016,0,,,
VA,2016,1.73E-05,,,
FL,2016,0,,,
FL,2016,0,,,
FL,2016,2.56E-05,,,
VA,2016,1.60E-05,,,
MS,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
MS,2016,9.93E-06,,,
MS,2016,5.55E-06,,,
MS,2016,0,,,
MS,2016,0,,,
MS,2016,3.81E-06,,,
CA,2016,0,,,
AL,2016,9.40E-06,,,
AL,2016,8.50E-06,,,
AL,2016,9.92E-06,,,
